Nombre;Genero;Origen;Etimologia
Oier;M;Vasco;Nombre medieval vasco de significado incierto, posiblemente "torcido" o "el que acecha".
Oihana;F;Vasco;Significa "bosque" o "selva".
Oihane;F;Vasco;Variante de Oihana.
Oinatz;M;Vasco;Significa "huella", "pisada" o "relámpago".
Olaia;F;Vasco;Forma vasca de Eulalia. Significa "la que habla bien".
Olaine;F;Vasco;Nombre de lugar en Vizcaya.
Olaiz;M;Vasco;Topónimo vasco referente a una "ferrería" o "cabaña".
Olalla;F;Gallego/Español;Variante de Eulalia (bien hablada).
Olatz;F;Vasco;Nombre de advocación mariana local. Significa "porche" o "granero".
Olatz;U;Vasco;Uso unisex de Olatz.
Olga;F;Escandinavo/Ruso;De 'Helga'. Significa "sagrada", "santa" o "invulnerable".
Oliver;M;Latín/Francés;De 'olivarius'. Significa "el que cultiva olivos" o "paz".
Olivia;F;Latín;Femenino de Oliver. Significa "la que trae la paz" (por la rama de olivo).
Olivier;M;Francés;Forma francesa de Oliver.
Olympe;F;Griego/Francés;De 'Olympia'. Significa "la que pertenece al Olimpo".
Onofre;M;Egipcio/Griego;De 'Wnn-nfr'. Significa "el que es continuamente bueno".
Ophélie;F;Francés;Forma francesa de Ofelia.
Oriane;F;Latín/Francés;De 'aurum'. Significa "dorada" o "amanecer".
Oriol;M;Catalán/Latín;De 'aureolus'. Significa "dorado" o "ave oropéndola".
Orkatz;M;Vasco;Significa "corzo" (animal).
Ortzi;M;Vasco;Antiguo nombre vasco para el "cielo" o el trueno/divinidad.
Oscar;M;Celta/Germánico;De 'os' (dios) y 'car' (lanza). Significa "lanza de los dioses".
Óscar;M;Español;Variante de Oscar.
Otsanda;F;Vasco;Significa "loba".
Otxar;M;Vasco;Nombre derivado de 'otso' (lobo).
Ovidio;M;Latín;De 'Ovidius', nombre de familia romana. Significa "pastor de ovejas".
Owen;M;Galés/Griego;De 'Eugene' (bien nacido) o 'Owain' (joven guerrero).
Pablo;M;Latín;De 'Paulus'. Significa "pequeño" o "humilde".
Paige;F;Griego/Inglés;De 'paidion'. Significa "página" o "joven sirviente".
Pamela;F;Griego;De 'pan' (todo) y 'meli' (miel). "Toda dulzura".
Parker;M;Inglés;Nombre ocupacional. Significa "guardián del parque".
Parker;U;Inglés;Uso unisex de Parker.
Pascal;M;Latín/Francés;De 'paschalis'. Significa "relativo a la Pascua".
Pascale;F;Francés;Femenino de Pascal.
Pascual;M;Latín;Variante española de Pascal.
Pat;U;Latín/Inglés;Hipocorístico de Patricia o Patrick (noble).
Patrice;M;Francés;Forma francesa de Patricio.
Patricia;F;Latín;Significa "noble" o "de linaje patricia".
Patrícia;F;Catalán/Portugués;Variante de Patricia.
Patrick;M;Latín/Irlandés;De 'Patricius'. Significa "hombre noble".
Pau;M;Catalán;Forma catalana de Pablo (pequeño) y también "paz".
Paul;M;Latín;Forma inglesa/francesa de Pablo. Del latín 'Paulus' (pequeño/humilde).
Paula;F;Latín;Femenino de Pablo. Significa "pequeña" o "débil".
Paulette;F;Francés;Diminutivo francés de Paula. Significa "pequeña Paula".
Paulo;M;Portugués;Forma portuguesa de Pablo.
Pedro;M;Griego;Del griego 'Petros'. Significa "piedra" o "firme como una roca".
Penelope;F;Griego;De 'pene' (hilo/trama) y 'ops' (ojo/rostro). "La que teje" o "rostro de tejedora".
Pep;M;Catalán;Hipocorístico catalán de Josep (José). "Dios añadirá".
Pere;M;Catalán;Forma catalana de Pedro (piedra).
Perrine;F;Francés;Femenino de Pierre (Pedro). Significa "piedra".
Peru;M;Vasco;Forma vasca de Pedro.
Peter;M;Inglés;Forma inglesa de Pedro.
Peyton;F;Inglés;De un apellido derivado de 'Paega's town'. Significa "asentamiento de Paega".
Peyton;U;Inglés;Uso unisex de Peyton.
Philémon;M;Griego;De 'philema'. Significa "el que ama" o "el que es cariñoso".
Philip;M;Griego;De 'philippos'. Significa "amigo de los caballos".
Philippe;M;Francés;Forma francesa de Felipe.
Philippine;F;Francés;Femenino francés de Felipe.
Phoebe;F;Griego;De 'phoibos'. Significa "brillante", "pura" o "resplandeciente".
Phoenix;U;Griego;Referente al ave fénix. Significa "rojo oscuro" o "el que renace de sus cenizas".
Pierre;M;Francés;Forma francesa de Pedro.
Pilar;F;Latín;De 'pila'. Significa "columna" o "soporte de los suyos". Advocación mariana.
Pol;M;Catalán;Forma catalana de Pablo (pequeño).
Pomba;F;Gallego;Significa "paloma". Símbolo de paz.
Preston;M;Inglés;De 'preost' (sacerdote) y 'tun' (asentamiento). "Pueblo del sacerdote".
Prosper;M;Latín;De 'prosperus'. Significa "afortunado", "próspero" o "exitoso".
Prudence;F;Latín;Significa "prudencia", "cautela" o "previsión".
Prudencio;M;Latín;Variante masculina de Prudence. "El que tiene juicio".
Purificación;F;Latín;De 'purificatio'. Referente a la purificación de la Virgen María.
Quentin;M;Latín;De 'Quintus'. Significa "el quinto (hijo)".
Quinn;U;Gaélico;De 'O'Cuinn'. Significa "descendiente de Conn" (sabio/líder).
Quitterie;F;Francés/Visigodo;De 'Quiteria'. Significa "la que lidera" o "la roja".
Rachel;F;Hebreo;De 'Rahel'. Significa "oveja" o "cordero" (símbolo de pureza).
Rafael;M;Hebreo;De 'Refa'el'. Significa "Dios ha sanado" o "medicina de Dios".
Rafaela;F;Hebreo;Femenino de Rafael.
Rafel;M;Catalán;Forma corta catalana de Rafael.
Rafela;F;Catalán;Forma femenina de Rafel.
Raimundo;M;Germánico;De 'ragin' (consejo) y 'mund' (protección). "Protector por el consejo".
Ramiro;M;Germánico;De 'ragin' (consejo) y 'mari' (famoso). "Consejero famoso".
Ramon;M;Catalán;Forma catalana de Ramón.
Ramón;M;Germánico;Variante de Raimundo. "Protector aconsejado".
Raoul;M;Germánico;Forma francesa de Raúl/Rodolfo. "Lobo consejero".
Raphaël;M;Francés;Forma francesa de Rafael.
Raquel;F;Hebreo;Variante española de Rachel (oveja).
Rashad;M;Árabe;Significa "buen juicio", "guía" o "rectitud".
Rashawn;M;Americano;Combinación moderna de 'Ra-' y Shawn (Juan).
Rasheed;M;Árabe;Significa "recto", "bien guiado" o "prudente".
Raúl;M;Germánico;De 'rad' (consejo) y 'wulf' (lobo). "Lobo consejero".
Raymond;M;Germánico;Forma inglesa de Raimundo.
Reagan;U;Gaélico;De 'riagan'. Significa "pequeño rey".
Rebeca;F;Hebreo;De 'Ribqah'. Significa "lazo" o "la que cautiva".
Rebecca;F;Hebreo;Forma inglesa/italiana de Rebeca.
Reese;U;Galés;De 'Rhys'. Significa "entusiasmo" o "ardor".
Regina;F;Latín;Significa "reina".
Régis;M;Latín/Francés;Del latín 'regere' (gobernar). Significa "el que rige" o "real".
Remedios;F;Latín;De 'remedium'. Advocación mariana: "Nuestra Señora de los Remedios".
Rémi;M;Latín/Francés;De 'remex'. Significa "remero".
Remy;U;Francés;Variante de Rémi.
Rémy;M;Francés;Variante ortográfica de Rémi.
Renata;F;Latín;Femenino de Renato. "Nacida de nuevo".
Renato;M;Latín;De 'renatus'. Significa "renacido" (por el bautismo).
Renaud;M;Germánico;Forma francesa de Reinaldo. "Consejero del rey".
René;M;Latín/Francés;Forma francesa de Renato (renacido).
Renée;F;Francés;Femenino de René.
Rexina;F;Gallego;Forma gallega de Regina (reina).
Ricard;M;Catalán;Forma catalana de Ricardo.
Ricardo;M;Germánico;De 'ric' (poder) y 'hard' (fuerte). "Rey fuerte".
Richard;M;Germánico;Forma inglesa/francesa de Ricardo.
Riley;F;Inglés/Gaélico;De 'rye' (centeno) y 'leah' (prado). "Prado de centeno".
Riley;M;Inglés;Uso masculino de Riley.
Riley;U;Inglés;Uso unisex de Riley.
Rita;F;Latín;Abreviatura de Margarita (perla).
River;U;Inglés;Significa "río".
Robert;M;Germánico;De 'hrod' (fama) y 'berht' (brillo). "Fama brillante".
Robin;U;Germánico;Diminutivo medieval de Robert. También significa "petirrojo".
Rocío;F;Latín;De 'roscidus'. Significa "rocío". Advocación mariana.
Rodrigo;M;Germánico;De 'hrod' (fama) y 'ric' (poder). "Guerrero famoso".
Roger;M;Germánico;De 'hrod' (fama) y 'ger' (lanza). "Famoso por su lanza".
Rogério;M;Portugués;Forma portuguesa de Roger.
Roi;M;Gallego;Forma corta gallega de Rodrigo.
Roland;M;Germánico;De 'hrod' (fama) y 'land' (tierra). "Famoso en su tierra".
Romain;M;Latín/Francés;De 'Romanus'. Significa "romano".
Ronald;M;Nórdico/Escocés;De 'Ragnvaldr'. "Gobernante aconsejado".
Roque;M;Germánico/Latín;De 'hroc' (grito de guerra) o del latín 'rocca' (roca).
Rory;U;Gaélico;De 'ruadh' (rojo) y 'ri' (rey). "Rey rojo".
Rosa;F;Latín;Referente a la flor de la rosa.
Rosalie;F;Francés;Variante de Rosa.
Rosana;F;Latín;Combinación de Rosa y Ana.
Rosario;F;Latín;De 'rosarium'. Referente a la guirnalda de rosas a la Virgen.
Rosário;F;Portugués;Forma portuguesa de Rosario.
Rose;F;Francés/Inglés;Forma de Rosa.
Rowan;U;Gaélico;De 'ruadhan'. Significa "pequeño pelirrojo" o referente al árbol serbal.
Roxana;F;Persa;De 'Roshanak'. Significa "brillante" o "amanecer".
Roxane;F;Francés/Persa;Variante francesa de Roxana.
Royal;U;Latín/Francés;Significa "real" o "perteneciente a la realeza".
Ruan;M;Francés;Forma francesa de Ruán (topónimo de una ciudad).
Rubén;M;Hebreo;De 'Re'uven'. Significa "mirad, un hijo" o "Dios vio mi aflicción".
Ruby;F;Latín/Inglés;Referente a la piedra preciosa 'rubí'. Significa "roja".
Rui;M;Germánico;Forma corta portuguesa/gallega de Rodrigo (guerrero famoso).
Russell;M;Francés;Del francés antiguo 'roussel'. Significa "de pelo rojo".
Ruth;F;Hebreo;De 'Rut'. Significa "amiga", "compañera" o "belleza".
Ryan;M;Gaélico;De 'Ó Riain'. Significa "pequeño rey" o "descendiente de Rian".
Ryan;U;Gaélico;Uso unisex de Ryan.
Sabela;F;Gallego;Forma gallega de Isabel (Dios es mi juramento).
Sabine;F;Latín/Francés;De 'Sabina'. Significa "mujer sabina", pueblo itálico antiguo.
Sabrina;F;Celta/Latín;Nombre del río Severn. Significa "del río Severn" o "diosa del río".
Sacha;M;Ruso/Griego;Diminutivo ruso de Alexander (protector de los hombres).
Sagardo;M;Vasco;Significa "sidra de manzana" o "manzana fuerte".
Sage;U;Latín/Inglés;De 'sapius'. Significa "sabio" o "prudente".
Saindur;M;Vasco;De 'saindu' (santo) y 'ur' (agua). "Agua bendita".
Saioa;F;Vasco;Topónimo vasco.
Salomé;F;Hebreo/Griego;Del hebreo 'shalom' (paz). Significa "pacífica" o "completa".
Salvador;M;Latín;De 'salvator'. Significa "salvador" o "el que salva".
Sam;U;Hebreo/Inglés;Abreviatura de Samuel (escuchado por Dios) o Samantha (escuchada).
Samantha;F;Hebreo/Inglés;Posiblemente combinación de Sam y el sufijo -antha. Significa "escuchada por Dios".
Samuel;M;Hebreo;De 'Shemu'el'. Significa "nombre de Dios" o "Dios ha escuchado".
Sandra;F;Griego;Forma abreviada de Alexandra. Significa "defensora de los hombres".
Sandrine;F;Francés;Diminutivo francés de Sandra/Alexandra.
Santiago;M;Hebreo/Español;De 'Sant Iago' (San Jacobo/Jaime).
Sara;F;Hebreo;De 'Sarah'. Significa "princesa" o "señora".
Sarah;F;Hebreo;Variante de Sara.
Saroi;M;Vasco;Significa "majada", "pastizal" o "cabaña de pastor".
Savannah;F;Español/Inglés;Del español 'sabana'. Significa "llanura grande y abierta".
Scarlett;F;Inglés;Referente al color escarlata (rojo intenso).
Scott;M;Inglés/Celta;Significa "escocés" o "nativo de Escocia".
Sean;M;Irlandés;Forma irlandesa de Juan. Significa "Dios es misericordioso".
Shawn;M;Irlandés/Inglés;Variante de Sean.
Shawn;U;Irlandés/Inglés;Uso unisex de Shawn.
Sheila;F;Irlandés;Anglicanización de Síle (Cecilia). Significa "ciega".
Sidney;U;Inglés/Francés;De 'saint denis' (San Dionisio) o 'sid' (río) y 'ney' (isla).
Silvia;F;Latín;De 'silva'. Significa "del bosque", "silvestre" o "habitante del bosque".
Sílvia;F;Catalán/Portugués;Variante de Silvia.
Sílvio;M;Portugués;Forma portuguesa de Silvio.
Simon;M;Hebreo/Griego;De 'Shim'on'. Significa "el que escucha" o "el que obedece".
Simón;M;Hebreo/Griego;Variante de Simon.
Simone;F;Francés/Hebreo;Forma femenina francesa/italiana de Simón.
Skylar;F;Holandés/Inglés;De 'schuyler' (erudito) o 'sky' (cielo) y 'lar' (guerra).
Skyler;U;Holandés/Inglés;Uso unisex de Skylar.
Sofia;F;Griego;De 'sophia'. Significa "sabiduría" o "conocimiento".
Sofía;F;Griego;Variante de Sofia.
Solange;F;Latín/Francés;De 'solemnis'. Significa "solemne" o "religiosa".
Solène;F;Francés/Latín;Variante de Solange (solemne).
Sophie;F;Francés;Forma francesa de Sofía (sabiduría).
Spencer;M;Inglés;Nombre ocupacional. Significa "despensero" o "administrador".
Spencer;U;Inglés;Uso unisex de Spencer.
Stella;F;Latín;Significa "estrella".
Stéphane;M;Francés;Forma francesa de Esteban (corona).
Stephanie;F;Griego/Inglés;Femenino de Stephen. Significa "coronada".
Stéphanie;F;Francés;Variante francesa de Stephanie.
Stephen;M;Griego/Inglés;Forma inglesa de Esteban.
Steven;M;Griego/Inglés;Variante ortográfica de Stephen.
Stuart;M;Escocés/Inglés;De 'stigweard'. Significa "administrador del patrimonio".
Sua;M;Vasco;Significa "fuego".
Sueli;F;Portugués/Tupí;De origen incierto, posiblemente tupí-guaraní relacionado con el "cielo azul".
Sugoi;M;Vasco;Significa "demoníaco" o "sobrenatural" (nombre mitológico).
Suhaitz;M;Vasco;De 'su' (fuego) y 'haitz' (roca). "Roca de fuego".
Susan;F;Hebreo;Variante de Susana.
Susana;F;Hebreo;De 'Shoshannah'. Significa "lirio" o "rosa".
Suzanne;F;Francés;Forma francesa de Susana.
Suzette;F;Francés;Diminutivo francés de Suzanne.
Sydney;F;Inglés/Francés;Forma femenina de Sidney.
Sylvain;M;Latín;De 'silvanus', relacionado con 'silva' (bosque). Significa "del bosque" o "silvestre".
Sylvia;F;Latín;Variante de Silvia. Significa "del bosque".
Sylvie;F;Francés;Forma francesa de Silvia.
Tadeo;M;Arameo;De 'thaddai'. Significa "corazón valiente" o "pecho".
Tadeu;M;Portugués;Forma portuguesa de Tadeo.
Tainá;F;Tupí-guaraní;Significa "estrella" o "divina" en lenguas nativas brasileñas.
Tamara;F;Hebreo;De 'tamar'. Significa "palmera" (datilera).
Tameka;F;Americano;Variante moderna de Tamika, de origen incierto.
Tanguy;M;Bretón;De 'tan' (fuego) y 'ki' (perro). Significa "perro de fuego" o "guerrero feroz".
Tanisha;F;Americano/Árabe;De origen incierto, posiblemente relacionado con el árabe "alegría".
Tanner;M;Inglés;Nombre ocupacional. Significa "curtidor de pieles".
Tareixa;F;Gallego;Forma gallega de Teresa.
Tatiana;F;Latín/Ruso;Femenino del nombre romano Tatius. Significa "perteneciente a Tatius".
Tatiane;F;Portugués;Variante de Tatiana.
Taylor;F;Inglés;Nombre ocupacional (sastre). Significa "cortador de tela".
Taylor;U;Inglés;Uso unisex de Taylor.
Teodoro;M;Griego;De 'theos' (Dios) y 'doron' (regalo). Significa "regalo de Dios".
Teresa;F;Griego;De 'theros' (verano) o 'therizein' (cosechar). Significa "cazadora" o "cosechadora".
Terry;U;Inglés/Germánico;Hipocorístico de Terence o Thierry/Theodoric.
Thaïs;F;Griego;De 'thais'. Significa "la que es contenida" o "vendaje".
Théo;M;Francés;Forma abreviada de Théodore.
Theodore;M;Griego;Forma inglesa de Teodoro.
Théodore;M;Francés;Forma francesa de Teodoro.
Theresa;F;Inglés;Variante de Teresa.
Thérèse;F;Francés;Forma francesa de Teresa.
Thiago;M;Portugués;Variante portuguesa/brasileña de Santiago (Jaime).
Thibault;M;Francés;Forma francesa de Teobaldo. Significa "príncipe valiente".
Thierry;M;Francés;Forma francesa de Teodorico. Significa "gobernante del pueblo".
Thomas;M;Griego/Arameo;De 't'oma'. Significa "gemelo".
Tiago;M;Portugués/Gallego;Forma abreviada de Santiago (Jaime).
Tiana;F;Latín/Ruso;Abreviatura de Tatiana o Christiana.
Tiffany;F;Griego;De 'Theophania'. Significa "aparición de Dios" o "Epifanía".
Timothée;M;Francés;Forma francesa de Timoteo.
Timothy;M;Griego/Inglés;De 'timotheos'. Significa "el que honra a Dios".
Tiphaine;F;Griego/Francés;Variante de Tiffany/Epifanía.
Toby;U;Hebreo;De 'Tobiah'. Significa "Dios es bueno".
Tòfol;M;Catalán;Hipocorístico catalán de Cristóbal.
Tomás;M;Griego/Arameo;Forma española de Thomas (gemelo).
Tomàs;M;Catalán;Forma catalana de Tomás.
Tomé;M;Gallego/Portugués;Forma de Tomás.
Tomeu;M;Catalán;Forma catalana de Bartolomé.
Toni;M;Catalán/Italiano;Hipocorístico de Antoni/Antonio.
Tònia;F;Catalán;Forma corta catalana de Antònia.
Tracy;U;Latín/Francés;De un apellido toponímico. Significa "del dominio de Thracius".
Travis;M;Francés;De 'traverser'. Significa "cruzador" o "recaudador de peajes".
Trayvon;M;Americano;Nombre moderno de creación reciente.
Trevion;M;Americano;Nombre moderno de creación reciente.
Trevon;M;Americano;Variante de Trevion.
Trevor;M;Galés;De 'tre' (asentamiento) y 'mor' (mar). "Gran asentamiento" o "de la granja grande".
Trinidad;F;Latín;De 'trinitas'. Referente a la Santísima Trinidad.
Trinity;F;Latín/Inglés;Forma inglesa de Trinidad.
Tristan;M;Celta/Francés;De 'drust' (ruido/alboroto) o del latín 'tristis' (triste).
Ttala;M;Vasco;Variante de Tala, lugar en Francia.
Tyesha;F;Americano;Nombre moderno de creación reciente.
Tyler;M;Inglés;Nombre ocupacional. Significa "fabricante de tejas" o "techador".
Tyler;U;Inglés;Uso unisex de Tyler.
Tyrese;M;Americano;Nombre moderno de creación reciente (sonido similar a Tyrone).
Tyriek;M;Americano;Nombre moderno de creación reciente.
Tyrone;M;Irlandés;De 'Tir Eoghain'. Significa "tierra de Eoghan".
Ubaldo;M;Germánico;De 'hug' (mente/espíritu) y 'bald' (audaz). "Espíritu audaz".
Uda;M;Vasco;Variante de Udal (patrimonio). Significa "verano".
Udane;F;Vasco;Femenino de Uda (verano).
Udi;F;Vasco;Significa "verano".
Uhaitz;M;Vasco;Significa "río grande" o "torrente".
Uhin;M;Vasco;Significa "ola".
Ukerdi;M;Vasco;Topónimo, nombre de pastores medievales.
Ulysse;M;Francés;Forma francesa de Ulises/Odiseo. Significa "enojado" o "el que odia".
Umandi;M;Vasco;Nombre relacionado con la naturaleza o topónimo.
Unai;M;Vasco;Significa "pastor" o "vaquero".
Unax;M;Vasco;Variante de Unai.
Urbano;M;Latín;De 'urbanus'. Significa "de la ciudad" o "cortés".
Urko;M;Vasco;Topónimo vasco.
Urtu;M;Vasco;Relacionado con 'urtxintxa' (ardilla).
Urtxintxa;M;Vasco;Significa "ardilla".
Urtzi;M;Vasco;Antiguo nombre vasco para el "cielo" o la divinidad suprema precristiana.
Usoa;F;Vasco;Significa "paloma".
Usoa;U;Vasco;Uso unisex de Usoa.
Uxía;F;Gallego;Forma gallega de Eugenia (bien nacida/noble).
Uxue;F;Vasco;Topónimo de Navarra, relacionado con 'usoa' (paloma).
Val;U;Latín;Forma corta de Valerie, Valentin, etc. Significa "fuerza" o "salud".
Valentim;M;Portugués;Forma portuguesa de Valentín.
Valentin;M;Francés/Inglés;Variante de Valentín.
Valentín;M;Latín;De 'valens'. Significa "fuerte", "vigoroso" o "saludable".
Valentine;F;Francés/Inglés;Forma femenina de Valentín.
Valérian;M;Latín/Francés;Derivado de Valerio. Significa "fuerte" o "saludable".
Valerie;F;Latín/Inglés;Forma inglesa de Valeria.
Valérie;F;Francés;Forma francesa de Valerie.
Vanesa;F;Inglés/Griego;Inventado por Swift, pero basado en la mariposa 'Vanessa'.
Vanessa;F;Inglés/Griego;Variante de Vanesa.
Vasco;M;Vasco/Español;Significa "vasco" o "natural del País Vasco".
Ventura;M;Latín;Abreviatura de Buenaventura. Significa "dicha", "suerte" o "el que ha de venir".
Verónica;F;Griego/Latín;De 'Berenice' (portadora de victoria) o 'Vera icon' (imagen verdadera).
Véronique;F;Francés;Forma francesa de Verónica.
Vicent;M;Catalán;Forma catalana de Vicente. Significa "el que vence".
Vicenta;F;Latín;Femenino de Vicente.
Vicente;M;Latín;De 'vincens'. Significa "vencedor" o "conquistador".
Victoire;F;Francés;Forma francesa de Victoria.
Victor;M;Latín;Significa "vencedor" o "conquistador".
Víctor;M;Latín;Variante acentuada de Victor.
Victoria;F;Latín;Significa "victoria" o "triunfadora".
Victòria;F;Catalán;Forma catalana de Victoria.
Vincent;M;Francés/Inglés;Forma francesa e inglesa de Vicente.
Violet;F;Latín/Inglés;Significa "violeta" (referente a la flor y al color).
Violette;F;Francés;Diminutivo francés de Violet. "Pequeña violeta".
Virgile;M;Latín/Francés;De 'Virgilius'. Probable origen etrusco, significa "rama" o "vergel".
Virginia;F;Latín;De 'virgo'. Significa "doncella", "virgen" o "pura".
Virginie;F;Francés;Forma francesa de Virginia.
Vitor;M;Portugués;Variante de Vítor.
Vítor;M;Portugués;Forma portuguesa de Víctor.
Vitória;F;Portugués;Forma portuguesa de Victoria.
Wagner;M;Germánico;Nombre ocupacional. Significa "fabricante de carros" o "carretero".
Walter;M;Germánico;De 'wald' (mando) y 'heri' (ejército). "El que gobierna el ejército".
Wayne;M;Inglés;De 'wain'. Significa "fabricante de carros" o "carretero".
Wendy;F;Inglés;Inventado por J.M. Barrie (Peter Pan), derivado de 'fwendy' (amiguita).
Wesley;M;Inglés;De 'west' y 'leah'. Significa "prado del oeste".
Whitney;F;Inglés;De 'hwitan' (blanco) e 'ey' (isla). Significa "isla blanca".
Whitney;U;Inglés;Uso unisex de Whitney.
Wilfried;M;Germánico;De 'wil' (voluntad) y 'frid' (paz). "El que desea la paz".
William;M;Germánico/Inglés;De 'wil' (voluntad) y 'helm' (casco). "Protector decidido".
Wren;U;Inglés;Significa "reyezuelo" (pequeño pájaro).
Wyatt;M;Germánico/Inglés;De 'wig' (guerra) y 'hard' (fuerte). "Guerrero valiente".
Xabi;M;Vasco;Hipocorístico de Xabier.
Xabier;M;Vasco;De 'Etxeberri'. Significa "casa nueva".
Xacinto;M;Gallego;Forma gallega de Jacinto (flor).
Xacobe;M;Gallego;Forma gallega de Jacobo (el que suplanta).
Xacobo;M;Gallego;Variante de Xacobe.
Xalba;M;Vasco;Variante de Salbatore (Salvador).
Xandra;F;Gallego;Forma corta gallega de Alexandra (defensora de hombres).
Xanti;M;Vasco;Hipocorístico de Santiago (San Jacobo).
Xare;M;Vasco;Significa "red".
Xavi;M;Catalán;Hipocorístico de Xavier.
Xavier;M;Catalán/Francés;Variante de Javier (casa nueva).
Xenebra;F;Gallego;Forma gallega de Ginebra. Significa "blanca como la espuma".
Xermán;M;Gallego;Forma gallega de Germán (hermano o guerrero).
Xesc;M;Catalán;Hipocorístico de Francesc (Francisco).
Xesca;F;Catalán;Hipocorístico de Francesca.
Xiana;F;Gallego;Forma femenina gallega de Julián (de raíces fuertes).
Xil;M;Gallego;Forma gallega de Gil (el protegido).
Ximena;F;Hebreo/Castellano antiguo;Variante de Jimena/Simeona. Significa "la que escucha".
Ximo;M;Catalán;Hipocorístico de Joaquim (Joaquín).
Ximon;M;Vasco;Forma vasca de Simón (el que escucha).
Xisca;F;Catalán;Hipocorístico de Francesca (femenino de Francisco).
Xisco;M;Catalán;Hipocorístico de Francesc (Francisco).
Xoán;M;Gallego;Forma gallega de Juan (Dios es misericordioso).
Xoán Antón;M;Gallego;Compuesto de Juan y Antonio.
Xoana;F;Gallego;Forma femenina gallega de Juan.
Xoanciño;M;Gallego;Diminutivo cariñoso de Juan.
Xoel;M;Gallego;Forma gallega de Joel (Yahvé es Dios).
Xosé;M;Gallego;Forma gallega de José (Dios añadirá).
Xoseba;U;Vasco;Forma vasca de Joseba/José.
Xosefa;F;Gallego;Forma femenina gallega de José.
Xuban;M;Vasco;Nombre de origen toponímico.
Xulia;F;Gallego;Forma gallega de Julia (consagrada a Júpiter).
Xulián;M;Gallego;Forma gallega de Julián.
Xurxo;M;Gallego;Forma gallega de Jorge (agricultor).
Xusto;M;Gallego;Forma gallega de Justo (recto/honrado).
Yann;M;Bretón;Forma bretona de Juan.
Yannick;M;Bretón;Diminutivo de Yann. "Pequeño Juan".
Yasmin;F;Persa;Significa "jazmín" (flor fragante).
Yuri;M;Ruso/Griego;Forma rusa de Jorge (trabajador de la tierra).
Yvan;M;Francés/Eslavo;Variante de Iván/Juan.
Yves;M;Germánico/Francés;De 'iv'. Significa "tejo" (árbol sagrado).
Yvette;F;Francés;Femenino de Yves. "Pequeña tejo".
Yvonne;F;Francés;Femenino de Yves.
Zacharie;M;Francés;Forma francesa de Zacarías.
Zachary;M;Hebreo/Inglés;De 'Zekharyah'. Significa "Dios se ha acordado".
Zain;M;Árabe;Significa "belleza", "gracia" o "excelencia".
Zainab;F;Árabe;Nombre de una planta aromática o "belleza del padre".
Zaire;M;Africano;De 'nzere'. Significa "el río que se traga todos los ríos".
Zalbat;M;Vasco;Variante de Salbatore (Salvador).
Zaria;F;Eslavo/Árabe;En eslavo "amanecer"; en árabe "flor".
Zélia;F;Latín/Francés;De 'caelius'. Significa "perteneciente al cielo".
Zeltzin;F;Náhuatl;Significa "delicada" o "venerada".
Zigor;M;Vasco;Significa "azote", "castigo" o "disciplina".
Zihara;F;Vasco;Significa "vía" o "camino".
Zion;U;Hebreo;Nombre bíblico del monte Sión. Significa "punto más alto" o "refugio".
Zoe;F;Griego;Significa "vida".
Zoé;F;Francés;Variante de Zoe.
Zorion;M;Vasco;Significa "felicidad" o "dicha".
Zorione;F;Vasco;Femenino de Zorion.
Zuhaitz;U;Vasco;Significa "árbol".
Zuri;F;Vasco/Suajili;En vasco "blanca"; en suajili "hermosa".
Zuriñe;F;Vasco;De 'zuri'. Significa "la blanca" (equivalente a Blanca o Nieves).
